"2-CUP-AP-236","2-200-05-1-22","凌雲棟 5F 講義室(501)-3"
"2-CUP-AP-237","2-200-05-1-21","凌雲棟 5F 講義室(501)-4"
"2-CUP-AP-238","2-200-05-1-20","凌雲棟 5F 講義室(501)-5"
"2-CUP-WAP-1","2-144-02-1-05","霞研究棟B 2F 大会議室(207)"
"2-CUP-WAP-10","2-182-01-2-09","保健学研究棟 5F 談話コーナー前廊下(575)"
"2-CUP-WAP-100","2-118-01-1-53","基礎講義棟 1F 第3講義室(102)"
"2-CUP-WAP-103","2-118-01-1-53","基礎講義棟 2F 実習室2(204)-1"
"2-CUP-WAP-104","2-118-01-1-53","基礎講義棟 2F 実習室2(204)-2"
"2-CUP-WAP-105","2-118-01-1-53","基礎講義棟 2F 実習室2(204)-3"
"2-CUP-WAP-106","2-131-01-1-53","臨床講義棟 1F 第5講義室(134)-1"
"2-CUP-WAP-107","2-131-01-1-53","臨床講義棟 1F 第5講義室(134)-2"
"2-CUP-WAP-108","2-131-01-1-53","臨床講義棟 1F 第5講義室(134)-3"
"2-CUP-WAP-109","2-131-01-1-53","臨床講義棟 1F 第5講義室(134)-4"
"2-CUP-WAP-11","2-182-01-2-06","保健学研究棟 7F 談話コーナー前廊下(775)"
"2-CUP-WAP-111","2-131-01-1-53","臨床講義棟 1F 第4講義室(138)-1"
"2-CUP-WAP-112","2-131-01-1-53","臨床講義棟 1F 第4講義室(138)-2"
"2-CUP-WAP-114","2-134-01-1-35","薬学研究棟1階学部長室"
"2-CUP-WAP-115","2-134-02-1-24","薬学研究棟 2F 201実習室（北）"
"2-CUP-WAP-116","2-134-02-1-24","薬学研究棟 2F 201実習室（南西）"
"2-CUP-WAP-117","2-134-02-1-24","薬学研究棟 2F 201実習室（南東）"
"2-CUP-WAP-118","2-134-02-1-24","薬学研究棟 2F 第3講義室(208)-1"
"2-CUP-WAP-119","2-134-02-1-24","薬学研究棟 2F 第3講義室(208)-2"
"2-CUP-WAP-12","2-118-01-1-53","基礎講義棟 1F サーバ室(107-1)"
"2-CUP-WAP-122","2-144-01-1-16","霞研究棟B 1F 第6講義室(108)-1"
"2-CUP-WAP-123","2-144-01-1-17","霞研究棟B 1F 第6講義室(108)-2"
"2-CUP-WAP-124","2-144-02-1-19","霞研究棟B 2F 第5講義室(206)"
"2-CUP-WAP-125","2-144-03-1-16","霞研究棟B 3F 第3講義室(307)-1"
"2-CUP-WAP-126","2-144-03-1-16","霞研究棟B 3F 第3講義室(307)-2"
"2-CUP-WAP-127","2-144-03-1-16","霞研究棟B 3F 第4講義室(308)-1"
"2-CUP-WAP-128","2-144-03-1-16","霞研究棟B 3F 第4講義室(308)-2"
"2-CUP-WAP-129","2-144-04-1-22","霞講義棟D 4F 第1講義室(401)-1"
"2-CUP-WAP-13","2-118-01-1-12","基礎講義棟 1F 端末室2(108)-1"
"2-CUP-WAP-130","2-144-04-1-22","霞講義棟D 4F 第1講義室(401)-2"
"2-CUP-WAP-131","2-144-04-1-22","霞講義棟D 4F 第2講義室(402)-1"
"2-CUP-WAP-132","2-144-04-1-22","霞講義棟D 4F 第2講義室(402)-2"
"2-CUP-WAP-133","2-182-02-1-13","保健学研究棟 2F 大講義室(AV)(203)-1"
"2-CUP-WAP-134","2-182-02-1-13","保健学研究棟 2F 大講義室(AV)(203)-2"
"2-CUP-WAP-135","2-182-02-1-13","保健学研究棟 2F 大講義室(AV)(203)-3"
"2-CUP-WAP-136","2-182-02-1-13","保健学研究棟 2F 中講義室(204)-1"
"2-CUP-WAP-137","2-182-02-1-13","保健学研究棟 2F 視聴覚講義室(205)-1"
"2-CUP-WAP-138","2-182-02-1-13","保健学研究棟 2F 視聴覚講義室(205)-2"
"2-CUP-WAP-139","2-182-02-1-13","保健学研究棟 2F 小講義室1(206)"
"2-CUP-WAP-14","2-169-01-1-18","霞図書館 2F 開架閲覧室4(201)"
"2-CUP-WAP-140","2-182-03-1-24","保健学研究棟 3F 中講義室1(301)-1"
"2-CUP-WAP-141","2-182-03-1-24","保健学研究棟 3F 中講義室1(301)-2"
"2-CUP-WAP-142","2-182-03-1-24","保健学研究棟 3F 中講義室2(302)-1"
"2-CUP-WAP-143","2-182-03-1-24","保健学研究棟 3F 中講義室2(302)-2"
"2-CUP-WAP-144","2-182-03-1-24","保健学研究棟 3F ゼミ室(310)"
"2-CUP-WAP-145","2-182-05-1-15","保健学研究棟 5F ゼミ室(507)"
"2-CUP-WAP-146","2-182-06-1-20","保健学研究棟 6F ゼミ室1(609)"
"2-CUP-WAP-147","2-182-06-1-21","保健学研究棟 6F 教員研究室1(610)"
"2-CUP-WAP-148","2-182-07-1-20","保健学研究棟 7F ゼミ室(709)"
"2-CUP-WAP-149","2-182-10-1-17","保健学研究棟 10F ゼミ室(1011)"
"2-CUP-WAP-15","2-169-01-1-24","霞図書館 1F 開架閲覧室1(104)-1"
"2-CUP-WAP-150","2-118-01-1-53","基礎講義棟 1F 第1講義室(101)-1"
"2-CUP-WAP-152","2-118-01-1-53","基礎講義棟 1F 第3講義室(102)-2"
"2-CUP-WAP-156","2-166-01-1-47","霞研究棟C 1F ダイバーシティエリア(175)"
"2-CUP-WAP-157","2-118-01-1-53","基礎講義棟 1F 端末室2(108)-2"
"2-CUP-WAP-158","2-118-01-1-53","基礎講義棟 1F 端末室2(108)-3"
"2-CUP-WAP-159","2-189-03-1-31","原医研研究棟 3F セミナー室(301)"
"2-CUP-WAP-16","2-169-01-1-27","霞図書館 2F 開架閲覧室3(202)"
"2-CUP-WAP-17","2-134-01-1-34","薬学研究棟1階事務室"
"2-CUP-WAP-177","2-082-04-1-46","霞研究棟A 4F 422前廊下(471)"
"2-CUP-WAP-179","2-082-04-1-48","霞研究棟A 4F 419前廊下(470)"
"2-CUP-WAP-2","2-166-01-1-48","霞研究棟C 2F 廊下(274)"
"2-CUP-WAP-22","2-169-01-1-24","霞図書館 1F 開架閲覧室1(104)-2"
"2-CUP-WAP-23","2-082-01-2-48","霞会館 2F 食堂(201)"
"2-CUP-WAP-239","2-183-01-1-24","動物実験棟 1F 東階段メンテナンスホール(174)"
"2-CUP-WAP-24","2-184-01-1-10","広仁会館 2F 大会議室(202)-1"
"2-CUP-WAP-240","2-183-01-1-24","動物実験棟 2F 東階段メンテナンスホール(274)"
"2-CUP-WAP-241","2-183-01-1-24","動物実験棟 3F 東階段メンテナンスホール(374)"
"2-CUP-WAP-242","2-183-01-1-24","動物実験棟 4F 東階段メンテナンスホール(474)"
